Link;Mês e Ano;Data;Valor Previsto (R$);Valor Realizado (R$);Descrição;Arquivo
https://drive.google.com/open?id=1XQeYOQIM3ygR2BhS2xRIbow5zlYhVOrn&usp=drive_copy;04/2021;;525.000,00;525.000,00;;Repasses\2021\Repasse 04-2021.pdf
https://drive.google.com/open?id=15uVxY2XIfDE9YbzSE6ARlUCYzoqJ64lG&usp=drive_copy;05/2021;;525.000,00;525.000,00;;Repasses\2021\Repasse 05-2021.pdf
https://drive.google.com/open?id=1P-YC8FVruXsm8wukzE9KpzWykbucA24i&usp=drive_copy;06/2021;;525.000,00;525.000,00;;Repasses\2021\Repasse 06-2021.pdf
https://drive.google.com/open?id=1yyQUjaGgqxZpIGCn9mk6LhfpsmLRkJSL&usp=drive_copy;07/2021;;525.000,00;525.000,00;;Repasses\2021\Repasse 07-2021.pdf
https://drive.google.com/open?id=1XEwWe_6GsdGDAXFJhOoUeSLjWxVvxJMc&usp=drive_copy;08/2021;;525.000,00;525.000,00;;Repasses\2021\Repasse 08-2021.pdf
https://drive.google.com/open?id=1RedFSGC9nOglXrrHgf7g3gCXojoT1fZE&usp=drive_copy;09/2021;;525.000,00;525.000,00;;Repasses\2021\Repasse 09-2021.pdf
https://drive.google.com/open?id=1iSn-gJSSGR9GufuhIGlUfGLm6ukr73bG&usp=drive_copy;10/2021;;525.000,00;525.000,00;;Repasses\2021\Repasse 10-2021.pdf
https://drive.google.com/open?id=12mqG3M_iEGC2_jzOcAvcZULyf6DgJ-Vm&usp=drive_copy;11/2021;;525.000,00;525.000,00;;Repasses\2021\Repasse 11-2021.pdf
https://drive.google.com/open?id=14l42BRZYMBq-RxEs7lML_74f5sFk_mI6&usp=drive_copy;12/2021;;525.000,00;525.000,00;;Repasses\2021\Repasse 12-2021.pdf
https://drive.google.com/open?id=1jZWwd3f1ZiiOj6rN1aVYSrqwzfWDwx6C&usp=drive_copy;01/2022;;570.000,00;570.000,00;;Repasses\2022\Repasse 01-2022.pdf
https://drive.google.com/open?id=1IkC2Q8fJcPUz6ijzt2dTsWGvibD1ke4g&usp=drive_copy;02/2022;;570.000,00;570.000,00;;Repasses\2022\Repasse 02-2022.pdf
https://drive.google.com/open?id=1eejI519X-opVOc_ULqPgisdrNhqG0MTL&usp=drive_copy;03/2022;;570.000,00;570.000,00;;Repasses\2022\Repasse 03-2022.pdf
https://drive.google.com/open?id=1DSxhT7Z9wkQqXl7r2S7-mRGQd3lCwygV&usp=drive_copy;04/2022;;570.000,00;570.000,00;;Repasses\2022\Repasse 04-2022.pdf
https://drive.google.com/open?id=169vmlMb6HUFWojKeoXMTF6zVrQEPkGYk&usp=drive_copy;05/2022;;570.000,00;570.000,00;;Repasses\2022\Repasse 05-2022.pdf
https://drive.google.com/open?id=1TSTDJRo86Bo-QjtyJ1t9ajm34IBRWzCk&usp=drive_copy;06/2022;;570.000,00;570.000,00;;Repasses\2022\Repasse 06-2022.pdf
https://drive.google.com/open?id=1AYozqvYTsljI8zBCHyneDo9q9GVHU7ph&usp=drive_copy;07/2022;;570.000,00;570.000,00;;Repasses\2022\Repasse 07-2022.pdf
https://drive.google.com/open?id=1h4QJYALjKSlo3O-A9TcsBAMOzk6WCSvM&usp=drive_copy;08/2022;;570.000,00;570.000,00;;Repasses\2022\Repasse 08-2022.pdf
https://drive.google.com/open?id=1z26vImAgVK1c4x0tItDmvkBh1v0Zs4OO&usp=drive_copy;09/2022;20/09/2022;570.000,00;570.000,00;128 Duodécimo 20/09/2022 R$. 570.000,00;Repasses\2022\Repasse 09-2022 - 128 Duodécimo 20-09-2022 R$. 570.000,00.pdf
https://drive.google.com/open?id=1JVtMhB9NgcJOg3um0wU4gZiNdwEU083o&usp=drive_copy;10/2022;20/10/2022;570.000,00;570.000,00;128 Duodécimo 20/10/2022 R$. 570.000,00;Repasses\2022\Repasse 10-2022 - 128 Duodécimo 20-10-2022 R$. 570.000,00.pdf
https://drive.google.com/open?id=1yQzhDFtVd-u3fGaQ68TLDH1XrhiiIznR&usp=drive_copy;11/2022;18/11/2022;570.000,00;570.000,00;128 Duodécimo 18/11/2022 R$. 570.000,00;Repasses\2022\Repasse 11-2022 - 128 Duodécimo 18-11-2022 R$. 570.000,00.pdf
https://drive.google.com/open?id=1Ye6EGDmSFbYTtwBiOvPSq4yN982JEpRz&usp=drive_copy;12/2022;09/12/2022;280.000,00;280.000,00;128 Duodécimo 09/12/2022 R$. 280.000,00;Repasses\2022\Repasse 12-2022 - 128 Duodécimo 09-12-2022 R$. 280.000,00.pdf
